iter	Passed	Remaining
0	1	139
1	2	131
2	3	127
3	4	117
4	6	115
5	7	115
6	8	113
7	9	111
8	10	111
9	12	110
10	13	109
11	14	107
12	15	105
13	17	104
14	18	102
15	19	101
16	20	100
17	21	99
18	22	97
19	24	96
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	79
34	41	77
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	49	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
