iter	Passed	Remaining
0	153	153154
1	154	77330
2	156	51906
3	157	39240
4	158	31607
5	160	26507
6	162	23043
7	165	20494
8	166	18346
9	168	16634
10	169	15217
11	170	14062
12	172	13059
13	173	12209
14	175	11522
15	176	10869
16	179	10393
17	180	9871
18	182	9403
19	183	8984
20	184	8610
21	185	8263
22	187	7946
23	188	7655
24	189	7387
25	190	7141
26	193	6976
27	194	6761
28	195	6561
29	197	6373
30	198	6208
31	199	6047
32	201	5895
33	202	5750
34	203	5612
35	204	5484
36	207	5388
37	208	5276
38	209	5170
39	211	5070
40	212	4970
41	213	4880
42	215	4790
43	216	4702
44	217	4619
45	219	4542
46	221	4491
47	222	4418
48	224	4347
49	225	4279
50	226	4216
51	227	4151
52	228	4090
53	230	4030
54	231	3972
55	232	3918
56	233	3864
57	236	3844
58	237	3794
59	239	3748
60	240	3701
61	241	3654
62	242	3609
63	243	3568
64	245	3526
65	246	3485
66	247	3445
67	248	3407
68	251	3388
69	252	3353
70	253	3320
71	254	3285
72	256	3251
73	257	3218
74	258	3186
75	259	3155
76	260	3124
77	261	3095
78	263	3067
79	264	3043
80	266	3025
81	267	2999
82	268	2967
83	269	2941
84	271	2917
85	272	2892
86	273	2868
87	274	2845
88	275	2821
89	276	2800
90	278	2778
91	281	2774
92	282	2753
93	283	2732
94	284	2711
95	285	2691
96	286	2671
97	288	2652
98	289	2634
99	290	2615
100	291	2596
101	292	2578
102	295	2576
103	297	2559
104	298	2543
105	299	2527
106	300	2511
107	302	2494
108	303	2478
109	304	2462
110	305	2446
111	306	2431
112	307	2417
113	310	2411
114	311	2398
115	312	2385
116	314	2371
117	315	2359
118	316	2345
119	318	2333
120	319	2321
121	320	2306
122	321	2293
123	322	2280
124	325	2280
125	326	2267
126	327	2253
127	329	2241
128	330	2229
129	331	2217
130	332	2206
131	333	2195
132	335	2184
133	336	2172
134	337	2161
135	338	2151
136	340	2146
137	342	2136
138	343	2126
139	344	2116
140	345	2105
141	346	2093
142	347	2083
143	348	2073
144	350	2063
145	351	2054
146	352	2045
147	355	2044
148	356	2034
149	357	2025
150	358	2016
151	360	2008
152	361	2001
153	362	1992
154	363	1984
155	365	1976
156	366	1968
157	368	1961
158	371	1964
159	372	1957
160	373	1946
161	374	1939
162	376	1931
163	377	1924
164	379	1918
165	380	1911
166	381	1904
167	385	1910
168	387	1906
169	389	1900
170	390	1894
171	392	1889
172	394	1885
173	396	1882
174	397	1876
175	399	1872
176	401	1867
177	403	1863
178	404	1857
179	406	1850
180	407	1845
181	408	1838
182	410	1830
183	411	1824
184	414	1825
185	415	1818
186	416	1811
187	417	1804
188	418	1797
189	420	1791
190	421	1785
191	422	1778
192	423	1772
193	424	1765
194	426	1759
195	428	1758
196	429	1752
197	431	1747
198	432	1740
199	433	1734
200	434	1728
201	435	1722
202	437	1716
203	438	1709
204	439	1704
205	440	1698
206	442	1694
207	443	1690
208	445	1684
209	446	1678
210	447	1672
211	449	1669
212	450	1664
213	451	1659
214	453	1654
215	454	1649
216	455	1643
217	458	1644
218	459	1639
219	460	1633
220	462	1629
221	463	1625
